column,value,frequency,map-name,map-value
overall,10NC,2.0,overall-rank,10
overall,10NN,2.0,overall-rank,10
overall,6DD,2.0,overall-rank,6
overall,10BN,2.0,overall-rank,10
overall,9NC,2.0,overall-rank,9
overall,9DC,2.0,overall-rank,9
overall,9AA,2.0,overall-rank,9
overall,11CA,2.0,overall-rank,11
overall,7CB,2.0,overall-rank,7
overall,11CN,2.0,overall-rank,11
overall,6CD,2.0,overall-rank,6
overall,9DD,2.0,overall-rank,9
overall,10DB,2.0,overall-rank,10
overall,9AC,2.0,overall-rank,9
overall,8CA,2.0,overall-rank,8
overall,5DA,1.0,overall-rank,5
overall,10BB,1.0,overall-rank,10
overall,10ND,1.0,overall-rank,10
overall,11CD,1.0,overall-rank,11
overall,6AD,1.0,overall-rank,6
overall,5DD,1.0,overall-rank,5
overall,5CA,1.0,overall-rank,5
overall,7AB,1.0,overall-rank,7
overall,11DA,1.0,overall-rank,11
overall,8DC,1.0,overall-rank,8
overall,6CB,1.0,overall-rank,6
overall,7DB,1.0,overall-rank,7
overall,6ND,1.0,overall-rank,6
overall,10NB,1.0,overall-rank,10
overall,9NB,1.0,overall-rank,9
overall,10AC,1.0,overall-rank,10
overall,7DN,1.0,overall-rank,7
overall,12CB,1.0,overall-rank,12
overall,6CC,1.0,overall-rank,6
overall,12CC,1.0,overall-rank,12
overall,9AD,1.0,overall-rank,9
overall,10AD,1.0,overall-rank,10
overall,6DN,1.0,overall-rank,6
overall,4DD,1.0,overall-rank,4
overall,12CN,1.0,overall-rank,12
overall,8CN,1.0,overall-rank,8
overall,10DD,1.0,overall-rank,10
natureOfIntervention,3,115.0,natureOfIntervention-rank,3
natureOfIntervention,2,88.0,natureOfIntervention-rank,2
natureOfIntervention,1,10.0,natureOfIntervention-rank,1
natureOfIntervention,Not Scored,4.0,natureOfIntervention-rank,0
natureOfIntervention,0,2.0,natureOfIntervention-rank,0
